timestamp,sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,ux,uy
1744752122.6809306,"-0.18,-0.12,0.03,-0.03,-0.14,0.01,3.29,165.07,-8.79,0.00,0.00"
1744752122.7039309,"-0.12,-0.13,-0.01,-0.06,-0.09,0.02,3.25,165.12,-8.77,0.00,0.00"
1744752122.7283316,"-0.10,-0.17,-0.00,-0.03,-0.10,-0.03,3.28,165.11,-8.83,0.00,0.00"
1744752122.7507925,"-0.08,-0.13,-0.04,-0.03,-0.11,-0.03,3.28,165.10,-8.82,0.00,0.00"
1744752122.7743654,"-0.18,-0.16,-0.00,-0.06,-0.11,0.01,3.25,165.10,-8.78,0.00,0.00"
1744752122.7975132,"-0.09,-0.16,0.03,-0.03,-0.14,-0.01,3.28,165.07,-8.81,0.00,0.00"
1744752122.8184736,"-0.13,-0.13,0.02,-0.05,-0.09,0.05,3.26,165.12,-8.75,0.00,0.00"
1744752122.8425045,"-0.11,-0.16,0.02,-0.09,-0.11,-0.01,3.22,165.11,-8.81,0.00,0.00"
1744752122.8647988,"-0.14,-0.12,-0.00,-0.04,-0.09,-0.06,3.27,165.12,-8.85,0.00,0.00"
1744752122.8893416,"-0.10,-0.12,-0.03,-0.02,-0.11,-0.05,3.29,165.11,-8.84,0.00,0.00"
1744752122.9118023,"-0.17,-0.11,0.00,-0.04,-0.12,-0.01,3.27,165.10,-8.80,0.00,0.00"
1744752122.9350133,"-0.11,-0.14,0.01,0.01,-0.13,-0.07,3.32,165.09,-8.86,0.00,0.00"
1744752122.9576573,"-0.10,-0.11,-0.05,-0.12,-0.11,0.07,3.19,165.10,-8.72,0.00,0.00"
1744752122.9813006,"-0.09,-0.17,-0.01,-0.04,-0.09,0.03,3.27,165.12,-8.77,0.00,0.00"
1744752123.0030427,"-0.07,-0.10,-0.03,-0.04,-0.07,0.02,3.27,165.14,-8.78,0.00,0.00"
1744752123.026799,"-0.10,-0.13,-0.03,-0.03,-0.10,0.03,3.28,165.11,-8.76,0.00,0.00"
1744752123.0497792,"-0.13,-0.18,0.01,-0.07,-0.06,-0.03,3.24,165.16,-8.82,0.00,0.00"
1744752123.0725508,"-0.05,-0.15,-0.01,-0.03,-0.08,-0.06,3.28,165.13,-8.86,0.00,0.00"
1744752123.095511,"-0.08,-0.10,0.04,-0.03,-0.12,0.01,3.29,165.09,-8.79,0.00,0.00"
1744752123.118427,"-0.11,-0.10,-0.02,-0.07,-0.10,-0.01,3.24,165.11,-8.81,0.00,0.00"
1744752123.1416602,"-0.17,-0.18,-0.02,-0.06,-0.12,-0.02,3.25,165.09,-8.82,0.00,0.00"
1744752123.1651695,"-0.08,-0.11,-0.00,-0.02,-0.10,0.03,3.29,165.11,-8.77,0.00,0.00"
1744752123.18649,"-0.11,-0.10,0.03,-0.02,-0.10,-0.02,3.29,165.11,-8.82,0.00,0.00"
1744752123.2100105,"-0.13,-0.07,0.01,-0.06,-0.09,0.03,3.25,165.12,-8.77,0.00,0.00"
1744752123.2328968,"-0.10,-0.16,-0.00,-0.10,-0.05,0.04,3.21,165.16,-8.76,0.00,0.00"
1744752123.256958,"-0.14,-0.13,0.00,-0.07,-0.07,-0.01,3.24,165.14,-8.80,0.00,0.00"
1744752123.279998,"-0.10,-0.17,-0.01,-0.08,-0.13,-0.02,3.23,165.08,-8.82,0.00,0.00"
1744752123.3032906,"-0.09,-0.12,-0.02,-0.06,-0.10,0.01,3.25,165.11,-8.78,0.00,0.00"
1744752123.327023,"-0.12,-0.12,-0.05,-0.08,-0.08,0.05,3.23,165.13,-8.75,0.00,0.00"
1744752123.3477988,"-0.10,-0.15,-0.03,-0.04,-0.09,-0.02,3.28,165.12,-8.82,0.00,0.00"
1744752123.3714685,"-0.09,-0.09,-0.01,-0.02,-0.08,-0.04,3.29,165.13,-8.84,0.00,0.00"
1744752123.3945692,"-0.14,-0.07,-0.02,-0.05,-0.13,0.01,3.26,165.09,-8.78,0.00,0.00"
1744752123.4174588,"-0.19,-0.13,-0.00,-0.09,-0.14,0.01,3.22,165.07,-8.78,0.00,0.00"
1744752123.440366,"-0.09,-0.14,-0.00,-0.05,-0.06,-0.05,3.26,165.15,-8.84,0.00,0.00"
1744752123.4637449,"-0.13,-0.08,-0.02,-0.09,-0.06,-0.00,3.22,165.15,-8.80,0.00,0.00"
1744752123.4872656,"-0.08,-0.10,-0.03,-0.03,-0.09,-0.04,3.28,165.12,-8.83,0.00,0.00"
1744752123.5105217,"-0.12,-0.14,-0.01,-0.01,-0.11,-0.03,3.30,165.10,-8.82,0.00,0.00"
1744752123.5322485,"-0.09,-0.09,-0.02,-0.05,-0.10,-0.02,3.26,165.12,-8.82,0.00,0.00"
1744752123.5548904,"-0.08,-0.11,-0.01,-0.04,-0.09,-0.02,3.27,165.12,-8.81,0.00,0.00"
1744752123.5779903,"-0.05,-0.11,-0.02,-0.03,-0.11,-0.02,3.28,165.10,-8.81,0.00,0.00"
1744752123.6017785,"-0.13,-0.12,-0.03,-0.08,-0.12,-0.01,3.23,165.09,-8.81,0.00,0.00"
1744752123.6247082,"-0.10,-0.13,-0.04,-0.04,-0.12,-0.02,3.27,165.10,-8.82,0.00,0.00"
1744752123.648122,"-0.10,-0.13,-0.04,-0.06,-0.10,-0.02,3.25,165.11,-8.82,0.00,0.00"
1744752123.6706147,"-0.11,-0.15,-0.04,-0.06,-0.15,0.01,3.25,165.06,-8.78,0.00,0.00"
1744752123.6942165,"-0.05,-0.12,-0.03,-0.04,-0.12,-0.01,3.27,165.09,-8.81,0.00,0.00"
1744752123.7164996,"-0.09,-0.18,0.02,-0.09,-0.13,-0.03,3.22,165.08,-8.83,0.00,0.00"
1744752123.7400339,"-0.08,-0.10,-0.02,-0.06,-0.11,-0.05,3.25,165.10,-8.85,0.00,0.00"
1744752123.7630098,"-0.10,-0.13,0.02,-0.00,-0.06,-0.02,3.31,165.15,-8.81,0.00,0.00"
1744752123.7865658,"-0.15,-0.12,-0.01,-0.09,-0.08,-0.01,3.22,165.13,-8.80,0.00,0.00"
1744752123.8094835,"-0.12,-0.15,-0.04,-0.07,-0.07,-0.03,3.24,165.14,-8.83,0.00,0.00"
1744752123.831465,"-0.11,-0.15,-0.00,-0.02,-0.10,-0.01,3.29,165.11,-8.80,0.00,0.00"
1744752123.8549635,"-0.13,-0.16,-0.04,-0.02,-0.11,0.01,3.29,165.10,-8.79,0.00,0.00"
1744752123.8780737,"-0.13,-0.12,0.00,-0.10,-0.12,-0.01,3.21,165.09,-8.81,0.00,0.00"
1744752123.9012191,"-0.07,-0.12,-0.01,-0.08,-0.10,-0.02,3.23,165.11,-8.82,0.00,0.00"
1744752123.9245448,"-0.11,-0.12,-0.01,-0.10,-0.07,-0.02,3.22,165.14,-8.81,0.00,0.00"
1744752123.9471948,"-0.09,-0.14,-0.01,-0.03,-0.09,0.01,3.28,165.12,-8.79,0.00,0.00"
1744752123.9696867,"-0.11,-0.12,0.01,-0.11,-0.08,-0.03,3.20,165.13,-8.82,0.00,0.00"
1744752123.9932463,"-0.13,-0.15,-0.02,0.01,-0.07,0.02,3.32,165.14,-8.77,0.00,0.00"
1744752124.0160654,"-0.13,-0.17,-0.03,0.01,-0.08,-0.00,3.32,165.13,-8.80,0.00,0.00"
1744752124.0398316,"-0.13,-0.12,-0.01,-0.08,-0.06,-0.04,3.24,165.15,-8.83,0.00,0.00"
1744752124.0624387,"-0.11,-0.13,-0.01,-0.05,-0.10,-0.03,3.26,165.11,-8.83,0.00,0.00"
1744752124.0852003,"-0.08,-0.14,-0.04,-0.04,-0.08,-0.05,3.27,165.13,-8.85,0.00,0.00"
1744752124.108205,"-0.10,-0.13,-0.02,-0.03,-0.08,0.01,3.28,165.14,-8.78,0.00,0.00"
1744752124.131606,"-0.13,-0.15,-0.00,-0.06,-0.12,-0.03,3.25,165.09,-8.82,0.00,0.00"
1744752124.1548116,"-0.12,-0.14,-0.05,-0.12,-0.11,-0.02,3.19,165.10,-8.82,0.00,0.00"
1744752124.1764119,"-0.15,-0.14,0.02,-0.01,-0.07,-0.06,3.30,165.14,-8.85,0.00,0.00"
1744752124.1997955,"-0.06,-0.15,-0.03,-0.02,-0.12,0.04,3.29,165.09,-8.75,0.00,0.00"
1744752124.2219105,"-0.11,-0.14,-0.01,-0.00,-0.07,-0.01,3.31,165.14,-8.81,0.00,0.00"
1744752124.245562,"-0.07,-0.11,-0.02,-0.02,-0.09,-0.03,3.29,165.12,-8.82,0.00,0.00"
1744752124.2690997,"-0.12,-0.13,-0.00,-0.01,-0.11,-0.04,3.30,165.11,-8.83,0.00,0.00"
1744752124.2915137,"-0.11,-0.09,-0.02,-0.07,-0.09,-0.00,3.24,165.13,-8.80,0.00,0.00"
1744752124.314866,"-0.14,-0.17,0.02,-0.03,-0.08,-0.06,3.28,165.13,-8.85,0.00,0.00"
1744752124.3366926,"-0.09,-0.13,-0.03,-0.04,-0.11,-0.01,3.27,165.10,-8.81,0.00,0.00"
1744752124.3603542,"-0.16,-0.12,0.01,-0.03,-0.11,-0.05,3.29,165.10,-8.84,0.00,0.00"
