Timestamp,X,Y,Z,Roll,Pitch,ux,uy
1744755288,-0.0119503,0.27967,0.149182,-3.03594,0.0581465,-1.43,-158.23
1744755288,-0.0229204,0.284362,0.158957,-3.05413,0.0551791,-109.41,-151.21
1744755288,-0.0229204,0.284362,0.158957,-3.05413,0.0551791,-109.41,-151.21
1744755288,-0.015022,0.281506,0.145384,-3.06171,0.0628009,-46.45,-91.95
1744755288,-0.0382023,0.289167,0.144698,-2.99715,0.0707657,-139.92,-119.37
1744755288,-0.0382023,0.289167,0.144698,-2.99715,0.0707657,-139.92,-119.37
1744755288,-0.01378,0.290542,0.150864,-3.05473,0.0493265,-86.63,-177.82
1744755288,-0.0161488,0.287139,0.150662,-3.04228,0.0579345,-68.24,-136.4
1744755288,-0.0161488,0.287139,0.150662,-3.04228,0.0579345,-68.24,-136.4
1744755288,-0.0182891,0.287375,0.156367,-3.05445,0.0527428,-105.89,-164.55
1744755288,-0.013338,0.284916,0.151448,-3.03011,0.0578321,-45.58,-165.83
1744755288,-0.013338,0.284916,0.151448,-3.03011,0.0578321,-45.58,-165.83
1744755288,-0.0108512,0.290157,0.148777,-3.0439,0.0537842,-62.5,-187.39
1744755288,-0.0236857,0.281252,0.160348,-3.05549,0.0568709,-121.11,-169
1744755288,-0.0236857,0.281252,0.160348,-3.05549,0.0568709,-121.11,-169
1744755288,-0.0134169,0.27986,0.150287,-3.03626,0.0593947,-12.38,-152.88
1744755288,-0.0144562,0.281925,0.149867,-3.03935,0.0607642,-38.88,-129.76
1744755288,-0.0144562,0.281925,0.149867,-3.03935,0.0607642,-38.88,-129.76
1744755288,-0.014974,0.279082,0.145115,-3.0619,0.0636472,-22.82,-98.35
1744755288,-0.0221451,0.274036,0.161895,-3.05198,0.0641669,-129.65,-208.47
1744755288,-0.00954559,0.279706,0.147233,-3.05458,0.0511952,-34.52,-230.02
1744755288,-0.00954559,0.279706,0.147233,-3.05458,0.0511952,-34.52,-230.02
1744755288,-0.0174681,0.290501,0.152973,-3.05364,0.0514038,-89.48,-155.87
1744755288,-0.0151976,0.315484,0.118679,-2.49361,0.101262,-140.9,-66.46
